Caltech Behavior Annotator - Annotation File

Configuration file:
other o
attack a
approach b
chasing c
dig d
escape e
general-sniffing f
sniff_genital p
sniff_face w
selfgrooming g
socialgrooming h
defend i
exploreobj j
climb k
follow l
mount m
biteobj n
flinch r
stand s
punch t
threaten u
interaction v
human_interfere x
tussling y

S1: start    end     type
   12781   12823    selfgrooming
   12824   12972    stand
   12973   12995    other
   12996   13033    stand
   13034   13115    other
   13116   13154    stand
   13155   13465    other
   13466   13503    stand
   13504   13508    other
   13509   13525    approach
   13526   13533    sniff_face
   13534   13540    threaten
   13541   13542    other
   13543   13580    approach
   13581   13588    punch
   13589   13611    other
   13612   13645    approach
   13646   13664    other
   13665   13679    sniff_face
   13680   13701    selfgrooming
   13702   13703    other
   13704   13718    stand
   13719   13728    escape
   13729   13729    other
   13730   13751    selfgrooming
   13752   13891    other
   13892   13931    selfgrooming
   13932   13951    other
   13952   13982    stand
   13983   13999    other
   14000   14037    stand
   14038   14063    other
   14064   14094    stand
   14095   14096    other
   14097   14125    approach
   14126   14134    other
   14135   14146    punch
   14147   14149    other
   14150   14181    approach
   14182   14227    other
   14228   14241    approach
   14242   14254    sniff_face
   14255   14257    other
   14258   14263    threaten
   14264   14286    other
   14287   14321    stand
   14322   14331    threaten
   14332   14358    stand
   14359   14372    other
   14373   14416    stand
   14417   14426    other
   14427   14457    stand
   14458   14544    climb
   14545   14696    other
   14697   14736    approach
   14737   14750    sniff_face
   14751   14762    other
   14763   14776    approach
   14777   14802    other
   14803   14817    approach
   14818   14832    general-sniffing
   14833   14839    punch
   14840   14852    other
   14853   14866    selfgrooming
   14867   14961    other
   14962   14987    dig
   14988   15032    other
   15033   15089    stand
   15090   15102    human_interfere
   15103   15107    sniff_face
   15108   15156    selfgrooming
   15157   15164    approach
   15165   15187    general-sniffing
   15188   15193    punch
   15194   15199    other
   15200   15210    approach
   15211   15229    other
   15230   15238    flinch
   15239   15277    other
   15278   15289    selfgrooming
   15290   15418    other
   15419   15440    defend
   15441   15449    escape
   15450   15465    defend
   15466   15495    escape
   15496   15577    other
   15578   15592    stand
   15593   15648    other
   15649   15699    approach
   15700   15711    general-sniffing
   15712   15740    other
   15741   15777    stand
   15778   15828    other
   15829   15852    approach
   15853   15864    sniff_face
   15865   15891    other
   15892   15952    stand
   15953   16092    other
   16093   16305    climb
   16306   16359    other
   16360   16370    general-sniffing
   16371   16386    escape
   16387   16414    stand
   16415   16496    other
   16497   16542    dig
   16543   16604    other
   16605   16610    sniff_face
   16611   16637    other
   16638   16665    dig
   16666   16824    other
   16825   16866    approach
   16867   16964    other
   16965   17002    dig
   17003   17062    other
   17063   17066    sniff_face
   17067   17078    other
   17079   17094    stand
   17095   17103    other
   17104   17104    sniff_face
   17105   17185    other
   17186   17254    dig
   17255   17291    other
   17292   17328    stand
   17329   17345    other
   17346   17373    dig
   17374   17396    approach
   17397   17401    sniff_face
   17402   17482    other
   17483   17520    dig
   17521   17528    other
   17529   17573    dig
   17574   17586    other
   17587   17612    dig
   17613   17678    other
   17679   17692    approach
   17693   17702    general-sniffing
   17703   17938    other
   17939   17968    stand
   17969   18015    other
   18016   18051    stand
   18052   18065    other
   18066   18133    climb
   18134   18203    other
   18204   18231    selfgrooming
   18232   18297    other
   18298   18317    defend
   18318   18374    other
   18375   18390    approach
   18391   18395    sniff_face
   18396   18415    other
   18416   18459    stand
   18460   18477    approach
   18478   18488    sniff_face
   18489   18499    punch
   18500   18519    escape
   18520   18577    other
   18578   18592    stand
   18593   18611    other
   18612   18672    stand
   18673   18718    climb
   18719   18736    other
   18737   18785    stand
   18786   18854    other
   18855   18866    approach
   18867   18869    general-sniffing
   18870   18963    other
   18964   18995    stand
   18996   19026    other
   19027   19063    stand
   19064   19083    other
   19084   19087    punch
   19088   19222    other
   19223   19393    stand
   19394   19412    other
   19413   19457    climb
   19458   19585    other
   19586   19589    approach
   19590   19591    sniff_face
   19592   19640    other
   19641   19688    climb
   19689   19809    other
   19810   19887    stand
   19888   19945    other
   19946   19962    selfgrooming
   19963   20188    other
   20189   20215    selfgrooming
   20216   20303    other
   20304   20329    stand
   20330   20379    other
   20380   20402    approach
   20403   20454    general-sniffing
   20455   20550    other
   20551   20623    stand
   20624   20692    other
   20693   20721    stand
   20722   20809    other
   20810   20855    approach
   20856   20885    other
   20886   20904    approach
   20905   20911    other
   20912   20930    stand
   20931   20935    threaten
   20936   20953    escape
   20954   20978    stand
   20979   21036    other
   21037   21072    dig
   21073   21112    other
   21113   21205    climb
   21206   21214    other
   21215   21261    approach
   21262   21269    sniff_face
   21270   21317    other
   21318   21329    approach
   21330   21334    general-sniffing
   21335   21352    other
   21353   21429    approach
   21430   21480    other
   21481   21558    stand
   21559   21612    other
   21613   21693    stand
   21694   21705    other
   21706   21790    stand
   21791   21803    other
   21804   21878    stand
   21879   21911    other
   21912   21999    stand
   22000   22316    other
   22317   22358    exploreobj
   22359   22479    other
   22480   22499    selfgrooming
   22500   22519    other
   22520   22546    climb
   22547   22562    other
   22563   22579    approach
   22580   22619    other
   22620   22636    approach
   22637   22641    general-sniffing
   22642   22828    other
   22829   22858    stand
   22859   22893    other
   22894   22933    general-sniffing
   22934   22951    other
   22952   22959    general-sniffing
   22960   22975    other
   22976   22985    flinch
   22986   23023    other
   23024   23049    approach
   23050   23058    general-sniffing
   23059   23066    punch
   23067   23129    other
   23130   23154    selfgrooming
   23155   23199    other
   23200   23232    stand
   23233   23262    other
   23263   23318    stand
   23319   23360    other
   23361   23400    dig
   23401   23454    other
   23455   23480    dig
   23481   23493    other
   23494   23505    dig
   23506   23518    approach
   23519   23524    general-sniffing
   23525   23531    punch
   23532   23553    escape
   23554   23610    other
   23611   23617    general-sniffing
   23618   23631    other
   23632   23638    approach
   23639   23646    flinch
   23647   23695    other
   23696   23728    stand
   23729   23885    other
   23886   23890    sniff_face
   23891   23923    other
   23924   24006    stand
   24007   24084    other
   24085   24234    dig
   24235   24252    other
   24253   24351    dig
   24352   24390    other
   24391   24417    approach
   24418   24429    sniff_face
   24430   24494    other
   24495   24549    dig
   24550   24702    other
   24703   24708    stand
   24709   24735    selfgrooming
   24736   24804    other
   24805   24831    stand
   24832   24854    approach
   24855   24858    sniff_face
   24859   24877    other
   24878   24898    approach
   24899   24907    sniff_face
   24908   24914    punch
   24915   24922    escape
   24923   25125    other
   25126   25150    climb
   25151   25161    other
   25162   25168    general-sniffing
   25169   25187    other
   25188   25203    general-sniffing
   25204   25209    other
   25210   25241    stand
   25242   25244    other
   25245   25257    general-sniffing
   25258   25340    other
   25341   25358    approach
   25359   25365    general-sniffing
